"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!60 years and over!!Estimate","Alabama!!60 years and over!!Margin of Error","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!60 years and over!!Estimate","Alaska!!60 years and over!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!60 years and over!!Estimate","Arizona!!60 years and over!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!60 years and over!!Estimate","Arkansas!!60 years and over!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!60 years and over!!Estimate","California!!60 years and over!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!60 years and over!!Estimate","Colorado!!60 years and over!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!60 years and over!!Estimate","Connecticut!!60 years and over!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!60 years and over!!Estimate","Delaware!!60 years and over!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!60 years and over!!Estimate","District of Columbia!!60 years and over!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!60 years and over!!Estimate","Florida!!60 years and over!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!60 years and over!!Estimate","Georgia!!60 years and over!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!60 years and over!!Estimate","Hawaii!!60 years and over!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!60 years and over!!Estimate","Idaho!!60 years and over!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!60 years and over!!Estimate","Illinois!!60 years and over!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!60 years and over!!Estimate","Indiana!!60 years and over!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!60 years and over!!Estimate","Iowa!!60 years and over!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!60 years and over!!Estimate","Kansas!!60 years and over!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!60 years and over!!Estimate","Kentucky!!60 years and over!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!60 years and over!!Estimate","Louisiana!!60 years and over!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!60 years and over!!Estimate","Maine!!60 years and over!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!60 years and over!!Estimate","Maryland!!60 years and over!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!60 years and over!!Estimate","Massachusetts!!60 years and over!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!60 years and over!!Estimate","Michigan!!60 years and over!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!60 years and over!!Estimate","Minnesota!!60 years and over!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!60 years and over!!Estimate","Mississippi!!60 years and over!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!60 years and over!!Estimate","Missouri!!60 years and over!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!60 years and over!!Estimate","Montana!!60 years and over!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!60 years and over!!Estimate","Nebraska!!60 years and over!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!60 years and over!!Estimate","Nevada!!60 years and over!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!60 years and over!!Estimate","New Hampshire!!60 years and over!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!60 years and over!!Estimate","New Jersey!!60 years and over!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!60 years and over!!Estimate","New Mexico!!60 years and over!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!60 years and over!!Estimate","New York!!60 years and over!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!60 years and over!!Estimate","North Carolina!!60 years and over!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!60 years and over!!Estimate","North Dakota!!60 years and over!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!60 years and over!!Estimate","Ohio!!60 years and over!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!60 years and over!!Estimate","Oklahoma!!60 years and over!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!60 years and over!!Estimate","Oregon!!60 years and over!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!60 years and over!!Estimate","Pennsylvania!!60 years and over!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!60 years and over!!Estimate","Rhode Island!!60 years and over!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!60 years and over!!Estimate","South Carolina!!60 years and over!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!60 years and over!!Estimate","South Dakota!!60 years and over!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!60 years and over!!Estimate","Tennessee!!60 years and over!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!60 years and over!!Estimate","Texas!!60 years and over!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!60 years and over!!Estimate","Utah!!60 years and over!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!60 years and over!!Estimate","Vermont!!60 years and over!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!60 years and over!!Estimate","Virginia!!60 years and over!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!60 years and over!!Estimate","Washington!!60 years and over!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!60 years and over!!Estimate","West Virginia!!60 years and over!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!60 years and over!!Estimate","Wisconsin!!60 years and over!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!60 years and over!!Estimate","Wyoming!!60 years and over!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!60 years and over!!Estimate","Puerto Rico!!60 years and over!!Margin of Error"
"Total population","4,903,185","*****","1,186,229","±7,196","731,545","*****","136,500","±3,089","7,278,717","*****","1,746,326","±8,116","3,017,804","*****","717,809","±6,291","39,512,223","*****","8,166,156","±19,462","5,758,736","*****","1,199,263","±7,403","3,565,287","*****","885,407","±6,778","973,764","*****","260,433","±3,429","705,749","*****","120,007","±2,478","21,477,737","*****","5,920,539","±15,262","10,617,423","*****","2,137,322","±12,672","1,415,872","*****","360,166","±3,578","1,787,065","*****","403,404","±4,790","12,671,821","*****","2,862,069","±12,037","6,732,219","*****","1,516,393","±8,402","3,155,070","*****","761,777","±5,109","2,913,314","*****","668,797","±6,192","4,467,673","*****","1,056,886","±7,252","4,648,794","*****","1,049,512","±8,460","1,344,212","*****","394,575","±4,078","6,045,680","*****","1,367,175","±8,096","6,892,503","*****","1,630,322","±9,081","9,986,857","*****","2,464,173","±10,923","5,639,632","*****","1,291,944","±6,568","2,976,149","*****","677,549","±6,284","6,137,428","*****","1,474,792","±9,291","1,068,778","*****","286,567","±3,143","1,934,408","*****","434,707","±4,224","3,080,156","*****","683,072","±6,044","1,359,711","*****","357,103","±4,523","8,882,190","*****","2,078,439","±8,602","2,096,829","*****","518,073","±4,456","19,453,561","*****","4,577,889","±15,073","10,488,084","*****","2,409,072","±11,306","762,062","*****","167,040","±2,557","11,689,100","*****","2,856,225","±11,220","3,956,971","*****","878,011","±4,759","4,217,737","*****","1,043,811","±6,766","12,801,989","*****","3,301,963","±11,315","1,059,361","*****","265,058","±3,598","5,148,714","*****","1,275,913","±7,903","884,659","*****","212,172","±3,252","6,829,174","*****","1,577,586","±9,529","28,995,881","*****","5,324,526","±18,119","3,205,958","*****","518,522","±5,353","623,989","*****","175,684","±2,491","8,535,519","*****","1,902,159","±9,712","7,614,893","*****","1,690,242","±8,495","1,792,147","*****","501,753","±4,811","5,822,434","*****","1,428,853","±6,844","578,759","*****","138,116","±2,763","","","",""
"    SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","48.3%","±0.1","45.0%","±0.3","52.0%","±0.3","49.5%","±1.1","49.7%","±0.1","46.4%","±0.2","48.9%","±0.2","44.9%","±0.3","49.7%","±0.1","45.6%","±0.1","50.4%","±0.1","46.7%","±0.3","48.9%","±0.1","45.0%","±0.3","48.3%","±0.1","44.8%","±0.6","47.4%","±0.1","42.2%","±0.9","48.9%","±0.1","45.6%","±0.2","48.7%","±0.1","44.5%","±0.3","50.0%","±0.1","45.9%","±0.5","50.3%","±0.2","47.7%","±0.6","49.1%","±0.1","45.1%","±0.2","49.3%","±0.1","45.4%","±0.2","49.8%","±0.2","46.2%","±0.3","49.6%","±0.1","45.9%","±0.4","49.2%","±0.1","45.2%","±0.3","48.8%","±0.1","45.1%","±0.3","48.8%","±0.2","46.3%","±0.4","48.4%","±0.1","44.4%","±0.3","48.5%","±0.1","44.3%","±0.3","49.2%","±0.1","45.8%","±0.2","49.7%","±0.1","46.5%","±0.2","48.2%","±0.2","44.5%","±0.4","49.0%","±0.1","45.1%","±0.2","50.3%","±0.2","48.2%","±0.5","50.0%","±0.1","46.4%","±0.4","50.2%","±0.1","47.6%","±0.4","49.5%","±0.2","46.5%","±0.5","48.9%","±0.1","44.7%","±0.2","49.4%","±0.2","45.9%","±0.4","48.6%","±0.1","44.4%","±0.2","48.6%","±0.1","44.7%","±0.2","51.0%","±0.3","47.8%","±0.7","49.0%","±0.1","45.1%","±0.2","49.6%","±0.1","45.5%","±0.3","49.5%","±0.1","46.0%","±0.3","49.0%","±0.1","45.0%","±0.2","48.8%","±0.2","44.2%","±0.6","48.3%","±0.1","45.0%","±0.3","50.8%","±0.3","47.6%","±0.6","48.7%","±0.1","45.0%","±0.2","49.6%","±0.1","45.5%","±0.1","50.2%","±0.1","47.4%","±0.5","49.5%","±0.2","47.5%","±0.6","49.2%","±0.1","45.3%","±0.2","50.0%","±0.1","46.7%","±0.3","49.4%","±0.2","46.0%","±0.4","49.7%","±0.1","46.7%","±0.2","51.1%","±0.4","48.1%","±1.0","","","",""
"        Female","51.7%","±0.1","55.0%","±0.3","48.0%","±0.3","50.5%","±1.1","50.3%","±0.1","53.6%","±0.2","51.1%","±0.2","55.1%","±0.3","50.3%","±0.1","54.4%","±0.1","49.6%","±0.1","53.3%","±0.3","51.1%","±0.1","55.0%","±0.3","51.7%","±0.1","55.2%","±0.6","52.6%","±0.1","57.8%","±0.9","51.1%","±0.1","54.4%","±0.2","51.3%","±0.1","55.5%","±0.3","50.0%","±0.1","54.1%","±0.5","49.7%","±0.2","52.3%","±0.6","50.9%","±0.1","54.9%","±0.2","50.7%","±0.1","54.6%","±0.2","50.2%","±0.2","53.8%","±0.3","50.4%","±0.1","54.1%","±0.4","50.8%","±0.1","54.8%","±0.3","51.2%","±0.1","54.9%","±0.3","51.2%","±0.2","53.7%","±0.4","51.6%","±0.1","55.6%","±0.3","51.5%","±0.1","55.7%","±0.3","50.8%","±0.1","54.2%","±0.2","50.3%","±0.1","53.5%","±0.2","51.8%","±0.2","55.5%","±0.4","51.0%","±0.1","54.9%","±0.2","49.7%","±0.2","51.8%","±0.5","50.0%","±0.1","53.6%","±0.4","49.8%","±0.1","52.4%","±0.4","50.5%","±0.2","53.5%","±0.5","51.1%","±0.1","55.3%","±0.2","50.6%","±0.2","54.1%","±0.4","51.4%","±0.1","55.6%","±0.2","51.4%","±0.1","55.3%","±0.2","49.0%","±0.3","52.2%","±0.7","51.0%","±0.1","54.9%","±0.2","50.4%","±0.1","54.5%","±0.3","50.5%","±0.1","54.0%","±0.3","51.0%","±0.1","55.0%","±0.2","51.2%","±0.2","55.8%","±0.6","51.7%","±0.1","55.0%","±0.3","49.2%","±0.3","52.4%","±0.6","51.3%","±0.1","55.0%","±0.2","50.4%","±0.1","54.5%","±0.1","49.8%","±0.1","52.6%","±0.5","50.5%","±0.2","52.5%","±0.6","50.8%","±0.1","54.7%","±0.2","50.0%","±0.1","53.3%","±0.3","50.6%","±0.2","54.0%","±0.4","50.3%","±0.1","53.3%","±0.2","48.9%","±0.4","51.9%","±1.0","","","",""
"        Median age (years)","39.4","±0.3","69.8","±0.2","35.0","±0.3","67.9","±0.2","38.3","±0.2","70.4","±0.2","38.8","±0.2","70.0","±0.2","37.0","±0.1","69.7","±0.1","37.1","±0.1","69.1","±0.2","41.2","±0.2","69.6","±0.3","41.4","±0.3","70.0","±0.4","34.3","±0.2","69.4","±0.5","42.4","±0.1","70.9","±0.1","37.2","±0.1","69.3","±0.1","39.6","±0.3","70.3","±0.3","36.9","±0.2","69.5","±0.3","38.6","±0.1","69.5","±0.2","38.0","±0.2","69.5","±0.2","38.5","±0.2","69.8","±0.2","37.2","±0.2","69.6","±0.2","39.2","±0.2","69.5","±0.2","37.7","±0.2","69.4","±0.2","45.1","±0.1","69.8","±0.3","39.0","±0.2","69.3","±0.2","39.7","±0.2","69.8","±0.2","39.8","±0.2","69.5","±0.1","38.4","±0.2","69.5","±0.1","38.3","±0.3","69.5","±0.2","38.9","±0.1","69.7","±0.2","40.5","±0.3","69.6","±0.3","36.8","±0.2","69.7","±0.3","38.4","±0.2","69.7","±0.2","43.0","±0.3","69.3","±0.3","40.2","±0.1","69.7","±0.2","38.6","±0.2","69.7","±0.2","39.2","±0.2","69.9","±0.2","39.1","±0.2","69.8","±0.2","35.5","±0.3","69.4","±0.4","39.6","±0.1","69.6","±0.1","37.0","±0.2","69.8","±0.2","39.7","±0.2","69.8","±0.2","40.8","±0.1","69.9","±0.1","40.1","±0.4","69.4","±0.3","39.9","±0.2","69.9","±0.2","37.7","±0.3","69.5","±0.3","39.0","±0.2","69.8","±0.1","35.1","±0.1","69.2","±0.2","31.2","±0.2","69.2","±0.3","42.8","±0.3","69.4","±0.3","38.5","±0.2","69.7","±0.2","37.9","±0.1","69.4","±0.1","42.9","±0.3","69.9","±0.3","39.9","±0.2","69.5","±0.1","38.1","±0.4","69.3","±0.4","","","",""
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","98.1%","±0.1","99.1%","±0.1","92.1%","±0.7","97.6%","±0.5","96.1%","±0.2","98.7%","±0.2","97.2%","±0.2","98.6%","±0.2","95.0%","±0.1","97.9%","±0.1","96.0%","±0.2","98.6%","±0.2","96.3%","±0.3","98.8%","±0.2","96.9%","±0.4","99.4%","±0.2","96.7%","±0.5","98.9%","±0.5","97.1%","±0.1","99.0%","±0.1","97.3%","±0.1","99.2%","±0.1","77.6%","±0.8","88.3%","±0.8","96.7%","±0.3","98.6%","±0.4","97.2%","±0.1","99.2%","±0.1","97.4%","±0.2","99.3%","±0.1","97.8%","±0.2","99.5%","±0.1","96.3%","±0.2","98.8%","±0.2","97.7%","±0.2","99.2%","±0.2","98.0%","±0.2","99.1%","±0.2","97.9%","±0.3","99.2%","±0.2","96.6%","±0.2","98.7%","±0.2","96.4%","±0.2","98.9%","±0.2","97.0%","±0.1","99.1%","±0.1","96.7%","±0.2","99.3%","±0.1","98.5%","±0.2","99.3%","±0.2","97.2%","±0.1","99.2%","±0.1","96.6%","±0.3","98.4%","±0.3","97.2%","±0.3","99.3%","±0.2","95.3%","±0.3","98.2%","±0.3","97.8%","±0.3","99.4%","±0.3","97.0%","±0.2","98.9%","±0.1","96.5%","±0.3","98.4%","±0.3","96.7%","±0.1","98.5%","±0.1","97.2%","±0.2","99.3%","±0.1","96.7%","±0.5","99.5%","±0.2","97.1%","±0.1","99.2%","±0.1","92.4%","±0.2","96.4%","±0.2","95.1%","±0.3","98.1%","±0.2","97.4%","±0.1","99.3%","±0.1","95.8%","±0.5","98.7%","±0.4","97.6%","±0.2","99.4%","±0.1","97.2%","±0.4","99.2%","±0.3","97.7%","±0.1","99.2%","±0.1","97.1%","±0.1","98.8%","±0.1","96.8%","±0.3","99.3%","±0.2","97.5%","±0.4","99.1%","±0.3","96.2%","±0.2","99.1%","±0.1","94.0%","±0.2","98.2%","±0.1","98.2%","±0.2","99.2%","±0.2","97.6%","±0.1","99.5%","±0.1","97.3%","±0.5","98.7%","±0.4","","","",""
"            White","67.8%","±0.2","75.9%","±0.4","64.2%","±0.6","77.6%","±1.1","78.3%","±0.3","88.3%","±0.3","76.7%","±0.3","85.5%","±0.3","59.4%","±0.2","68.1%","±0.2","83.7%","±0.3","90.5%","±0.4","74.6%","±0.4","86.6%","±0.4","67.7%","±0.6","80.2%","±0.8","42.5%","±0.7","35.8%","±1.0","74.5%","±0.1","84.8%","±0.2","57.8%","±0.2","69.1%","±0.4","24.1%","±0.3","27.9%","±0.5","89.4%","±0.5","94.9%","±0.5","71.4%","±0.2","80.2%","±0.2","82.8%","±0.2","90.5%","±0.2","89.9%","±0.2","96.4%","±0.3","83.6%","±0.3","91.3%","±0.4","86.7%","±0.1","91.7%","±0.3","61.8%","±0.2","70.5%","±0.4","94.0%","±0.2","97.5%","±0.3","54.5%","±0.2","65.0%","±0.4","77.0%","±0.3","87.7%","±0.3","78.2%","±0.1","85.7%","±0.2","82.1%","±0.2","93.1%","±0.2","58.0%","±0.2","68.3%","±0.6","81.8%","±0.1","88.3%","±0.2","88.0%","±0.3","94.3%","±0.6","86.2%","±0.3","94.1%","±0.4","64.6%","±0.6","76.3%","±0.7","92.6%","±0.3","97.3%","±0.4","67.1%","±0.3","77.8%","±0.3","73.9%","±0.7","82.4%","±0.9","63.2%","±0.2","72.9%","±0.2","68.1%","±0.2","78.0%","±0.2","85.8%","±0.3","95.3%","±0.9","80.9%","±0.1","87.8%","±0.2","72.4%","±0.2","82.9%","±0.3","83.5%","±0.4","91.8%","±0.3","79.6%","±0.1","88.5%","±0.2","78.7%","±0.8","89.5%","±0.9","66.7%","±0.2","75.8%","±0.3","84.1%","±0.2","93.6%","±0.6","77.2%","±0.1","85.1%","±0.3","73.4%","±0.2","80.4%","±0.2","87.3%","±0.3","93.4%","±0.6","93.8%","±0.2","97.4%","±0.4","67.0%","±0.2","75.8%","±0.3","74.2%","±0.2","86.1%","±0.3","93.1%","±0.2","95.5%","±0.4","85.2%","±0.2","93.6%","±0.2","90.9%","±0.5","95.2%","±0.8","","","",""
"            Black or African American","26.9%","±0.2","21.4%","±0.3","3.1%","±0.3","2.4%","±0.6","4.7%","±0.1","2.8%","±0.1","15.5%","±0.2","11.3%","±0.3","5.8%","±0.1","5.6%","±0.1","4.2%","±0.1","3.0%","±0.2","11.1%","±0.2","7.4%","±0.3","22.5%","±0.4","15.7%","±0.7","45.4%","±0.7","58.0%","±1.3","16.0%","±0.1","10.2%","±0.1","31.9%","±0.2","26.0%","±0.3","1.9%","±0.1","0.7%","±0.1","0.7%","±0.1","0.1%","±0.1","14.1%","±0.1","12.3%","±0.1","9.6%","±0.1","6.8%","±0.2","4.1%","±0.2","1.4%","±0.2","5.7%","±0.2","4.3%","±0.3","8.1%","±0.2","6.4%","±0.3","32.4%","±0.2","26.4%","±0.4","1.6%","±0.2","0.4%","±0.1","30.3%","±0.2","26.1%","±0.3","7.9%","±0.1","5.3%","±0.2","13.7%","±0.1","10.7%","±0.2","6.6%","±0.1","2.8%","±0.2","38.0%","±0.3","29.7%","±0.6","11.5%","±0.1","8.8%","±0.2","0.7%","±0.2","0.2%","±0.1","4.9%","±0.2","2.6%","±0.3","9.6%","±0.2","7.1%","±0.3","1.6%","±0.1","0.7%","±0.3","13.6%","±0.1","10.8%","±0.2","2.3%","±0.2","1.8%","±0.3","15.9%","±0.1","13.3%","±0.1","21.5%","±0.1","17.9%","±0.2","2.9%","±0.3","0.4%","±0.4","12.6%","±0.1","9.7%","±0.2","7.3%","±0.2","5.6%","±0.2","1.8%","±0.1","1.1%","±0.1","11.4%","±0.1","7.7%","±0.1","7.4%","±0.6","4.0%","±0.6","26.5%","±0.2","21.8%","±0.3","2.4%","±0.2","0.6%","±0.3","16.7%","±0.1","12.4%","±0.2","12.3%","±0.1","10.4%","±0.2","1.2%","±0.1","0.7%","±0.2","1.5%","±0.2","0.6%","±0.3","19.4%","±0.1","17.2%","±0.2","4.0%","±0.1","2.4%","±0.1","3.7%","±0.2","3.0%","±0.3","6.4%","±0.1","3.4%","±0.1","1.2%","±0.3","0.4%","±0.3","","","",""
"            American Indian and Alaska Native","0.5%","±0.1","0.4%","±0.1","15.8%","±0.5","11.5%","±0.9","4.6%","±0.1","2.8%","±0.1","0.6%","±0.1","0.4%","±0.1","0.8%","±0.1","0.8%","±0.1","1.0%","±0.1","0.9%","±0.1","0.3%","±0.1","0.2%","±0.1","0.4%","±0.1","0.4%","±0.2","0.3%","±0.1","0.1%","±0.1","0.3%","±0.1","0.2%","±0.1","0.4%","±0.1","0.2%","±0.1","0.4%","±0.2","0.2%","±0.1","1.3%","±0.2","1.0%","±0.2","0.3%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1","0.4%","±0.1","0.2%","±0.1","0.8%","±0.1","0.7%","±0.1","0.2%","±0.1","0.2%","±0.1","0.6%","±0.1","0.4%","±0.1","0.7%","±0.1","0.4%","±0.1","0.3%","±0.1","0.4%","±0.1","0.3%","±0.1","0.2%","±0.1","0.6%","±0.1","0.4%","±0.1","1.0%","±0.1","0.7%","±0.1","0.5%","±0.1","0.4%","±0.1","0.4%","±0.1","0.5%","±0.1","6.3%","±0.3","3.1%","±0.3","1.0%","±0.1","0.5%","±0.1","1.4%","±0.2","1.0%","±0.1","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1","0.1%","±0.1","9.5%","±0.3","6.4%","±0.3","0.4%","±0.1","0.3%","±0.1","1.2%","±0.1","0.9%","±0.1","5.4%","±0.3","2.7%","±0.6","0.2%","±0.1","0.2%","±0.1","8.0%","±0.2","5.7%","±0.2","1.2%","±0.1","0.9%","±0.2","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.4%","±0.2","0.4%","±0.1","0.3%","±0.1","8.6%","±0.3","4.4%","±0.5","0.3%","±0.1","0.2%","±0.1","0.5%","±0.1","0.5%","±0.1","1.1%","±0.1","0.8%","±0.1","0.5%","±0.1","0.4%","±0.2","0.3%","±0.1","0.3%","±0.1","1.4%","±0.1","1.1%","±0.1","0.2%","±0.1","0.1%","±0.1","0.9%","±0.1","0.6%","±0.1","2.4%","±0.3","1.7%","±0.6","","","",""
